lat;lon;cidade;estado;endereco
-12.9224214;-38.3604913;SALVADOR;BA;AV. LUIS VIANA
-12.927834;-38.347393;SALVADOR;BA;AL DILSON JATAHY FONSECA
-12.933583;-38.39405;SALVADOR;BA;AV. LUIS VIANA FILHO
-12.9352903;-38.5057274;SALVADOR;BA;R, HENRIQUE DIAS
-12.9354084;-38.3946773;SALVADOR;BA;AV. PARALELA
-12.9373782;-38.4057787;SALVADOR;BA;AV. LUIS VIANA
-12.9481903;-38.4493477;SALVADOR;BA;R, PARAIBA
-12.953917;-38.446102;SALVADOR;BA;IDA CABULA CONJUNTO RESIDENCIAL DORON
-12.9507707;-38.4341728;SALVADOR;BA;AV. CENTRO ADMINISTRATIVO DA BAHIA
-12.9494429;-38.3676411;SALVADOR;BA;AV. DORIVAL CAYMMI
-12.958947;-38.4510713;SALVADOR;BA;TRAV.ESSA ACM
-12.9614079;-38.4754058;SALVADOR;BA;BR-324 1180
-12.9681233;-38.4389353;SALVADOR;BA;AV. LUIS VIANA
-12.9683281;-38.4392082;SALVADOR;BA;AV. LUIS VIANA
-12.9713093;-38.5113093;SALVADOR;BA;R, DOS OURIVES
-12.990804;-38.5232506;SALVADOR;BA;AV. REITOR MIGUEL CALMON
-12.9865228639521;-38.5220247360007;SALVADOR;BA;R, GAMBOA DE CIMA
-13.0005771;-38.5133023;SALVADOR;BA;R, DR, ARLINDO DE ASSIS
-12.9958831;-38.522584;SALVADOR;BA;AV. REITOR MIGUEL CALMON
-13.0063392;-38.4869135;SALVADOR;BA;AV. JURACY MAGALHAES JUNIOR
-13.0007226;-38.50513;SALVADOR;BA;AV. ANITA GARIBALDI
-13.0065449;-38.5090728;SALVADOR;BA;AV. ADHEMAR DE BARROS
-13.0077485;-38.5181616;SALVADOR;BA;AV. OCEANICA
-12.9579759;-38.4313901;SALVADOR;BA;AV. LUIS VIANA
-12.9581952;-38.4015347;SALVADOR;BA;AV. IBIRAPITANGA
-12.922706;-38.361921;SALVADOR;BA;IDA AV. PARALELA / POSTO PETROBRAS
-12.971333;-38.511317;SALVADOR;BA;R. DOS OURIVES
-12.97152479;-38.42661742;SALVADOR;BA;AV. LUIS EDUARDO MAGALHAES
-12.97311438;-38.4994198;SALVADOR;BA;R, DJALMA DUTRA
-12.9769375;-38.51472355;SALVADOR;BA;PRACA, CASTRO ALVES
-12.9771;-38.47325;SALVADOR;BA;AC NORTE
-12.9794129;-38.5176102;SALVADOR;BA;AV. LAFAYETE COUTINH
-12.967883;-38.487711;SALVADOR;BA;LIG. AV. HEITOR DIAS/SHOPPING BELA VISTA/IGUATEMI
-12.9813979;-38.4391037;SALVADOR;BA;AV. PROF, MANOEL RIBEIRO
-12.9817535;-38.4819589;SALVADOR;BA;AV. MARIO LEAL FERREIRA
-12.98639251;-38.52263158;SALVADOR;BA;AV. LAFAYETE COUTINHO
-12.9902892;-38.5230438;SALVADOR;BA;AV. REITOR MIGUEL CALM
-12.990017;-38.511083;SALVADOR;BA;AV. CENTENARIO
-12.9908109;-38.48762;SALVADOR;BA;AV. DOM JOAO VI
-12.931583;-38.357121;SALVADOR;BA;VOLTA PRAIA DE ITAPOAN / AV. DORIVAL CAYMI
-12.9943783;-38.4639116;SALVADOR;BA;R, ANISIO TEIXEIRA
-12.9564306226326;-38.4758710893417;SALVADOR;BA;AV. BARROS REIS / CEASA
-12.970723;-38.412692;SALVADOR;BA;ORLA-AV. OCTAV.IO MANGABEIRA/ SAL BRASA
-13.013484;-38.483337;SALVADOR;BA;RIO VERMELHO / MC DONALD¥S
-12.99421667;-38.47513333;SALVADOR;BA;AV.ACM CRUZ. AV.JURACY MAGALHAES/PARQUE DA CIDADE
-13.00065;-38.48273333;SALVADOR;BA;JARDIM LUCAIA / AV. JURACY MAGALHAES
-13.0101;-38.52335;SALVADOR;BA;IDA BARRAL¬NDIA / FAROL DA BARRA
-13.00048565;-38.50509998;SALVADOR;BA;AV. ANITA GARIBALDI
-12.981133;-38.439011;SALVADOR;BA;CENTRO DE CONVENC’ES VOLTA
-13.008744;-38.492;SALVADOR;BA;RET. PQ CRUZ DE AGUIAR / RIO VERMELHO
-12.9516683;-38.501654;SALVADOR;BA;AV.OSCAR PONTES / SAO JOAQUIM(SENTIDO MERC MODELO)
-12.52986;-38.2893;SALVADOR;BA;AV. AFRANIO PEIXOTO / ESCADA
-12.59693;-38.30895;SALVADOR;BA;PC REIS CAT”LICOS / CIDADE BAIXA/COMERCIO
-12.4920975;-38.2356972;SALVADOR;BA;CIA KM 9 / AV.ON SENTIDO BR 324
-12.5144579;-38.2149378;SALVADOR;BA;CIA KM  /SENTIDO AEROPORTO
-12.55468;-38.22323;SALVADOR;BA;IDA AV. PARALELA / RETORNO PARQUE DE EXPOSIC’ES
-12.58091;-38.30214;SALVADOR;BA;VALE DE NAZARE/ T⁄NEL A. SIMAS/ COMERCIO
-12.9885906;-38.4687539;SALVADOR;BA;IDA AV. ACM // IGUATEMI - AO LADO DO HIPER POSTO
-12.98891;-38.45597;SALVADOR;BA;CAMINHO DAS ARVORES/ R.  JARACATIA - SENTIDO LOTEAMENTO AQUARIUS
-12.94502;-38.42048;SALVADOR;BA;AV. PARALELA SENTIDO AEROPORTO - PASSARELA
-12.936316;-38.398527;SALVADOR;BA;VOLTA AV. PARALELA/ANTES JORGE AMADO
-12.967906;-38.457061;SALVADOR;BA;AV. LUIS EDUARDO MAGALHAES - SENTIDO PARALELA
-12.5876;-38.31047;SALVADOR;BA;IDA BAHIA MARINA / AV. CONTORNO
-12.5723602;-38.283302;SALVADOR;BA;AV. BARROS REIS / CEASA
-12.58897;-38.28626;SALVADOR;BA;IDA PARQUE SAO BARTOLOMEU
-12.951694;-38.4745;SALVADOR;BA;CRUZAMENTO AV. LUIS EDUARDO MAGALHAES / B.REIS
-12.9359465;-38.4825516;SALVADOR;BA;AV. BONOC‘/REV. HONDA
-12.9708;-38.49876667;SALVADOR;BA;MERCADO / 7 PORTAS - SENTIDO 7 PORTAS - CENTRO
-12.96435;-38.50551667;SALVADOR;BA;TUNEL AMERICO SIMAS - SENTIDO COMERCIO - BONOCO - VALE DE NAZ
-12.956556;-38.475839;SALVADOR;BA;AV. BARROS REIS / SUPERMERCADO CESTA DO POVO - SENTIDO AV. LUIZ EDUARDO MAG. - BARROS REIS - HEITOR
-12.983517;-38.5205;SALVADOR;BA;DESCIDA AV. CONTORNO / MAM - SENTIDO CIDADE BAIXA - VALE DO CANELA - CON
-12.976267;-38.50265;SALVADOR;BA;IDA VIADUTO VALE DE NAZARE / FONTE NOVA / ITAPARICA FM - SENTIDO CIDADE BAIXA - BONOCO - VALE DE NAZ
